Type,BHK,Bathroom,Furnishing,Locality,Parking,Status,Transaction,Total_sqft,Price (in Lakhs)
Builder_Floor,3,2,Semi-Furnished,Rohini Sector 25,1,Ready_to_move,New_Property,6500,"65.00
%%"
Apartment,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,Ready_to_move,New_Property,6667,"50.00
%%"
Apartment,2,2,Furnished,"Citizen Apartment, Rohini Sector 13",1,Ready_to_move,Resale,6667,"155.00
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,Resale,6667,"42.00
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 24 ,1,Ready_to_move,New_Property,6667,"62.00
%%"
Builder_Floor,4,3,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,6667,"155.00
%%"
Builder_Floor,4,3,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,Resale,6667,"100.00
%%"
Apartment,2,2,Semi-Furnished,"Delhi Homes, Rohini Sector 24",1,Ready_to_move,New_Property,6154,"40.00
%%"
Builder_Floor,3,3,Unfurnished,Rohini Sector 21,1,Almost_ready,New_Property,6154,"68.00
%%"
Builder_Floor,4,4,Semi-Furnished,Rohini Sector 22,1,Ready_to_move,New_Property,6154,"150.00
%%"
Builder_Floor,3,2,Semi-Furnished,Rohini Sector 20,1,Ready_to_move,New_Property,6154,"62.00
%%"
Builder_Floor,3,2,Semi-Furnished,Rohini Sector 25,1,Ready_to_move,New_Property,6154,"77.00
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,New_Property,6154,"55.00
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,Resale,6154,"50.00
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 8 ,1,Ready_to_move,Resale,6154,"33.10
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 25 ,1,Ready_to_move,New_Property,6154,"47.00
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 22,1,Ready_to_move,New_Property,6154,"45.00
%%"
Builder_Floor,4,3,Semi-Furnished,Rohini Sector 16,1,Ready_to_move,New_Property,6154,"170.00
%%"
Apartment,3,3,Semi-Furnished,Rohini Sector 14,1,Ready_to_move,Resale,6154,"250.00
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 24,1,Ready_to_move,Resale,6154,"60.00
%%"
Apartment,2,2,Semi-Furnished,"Mayur Apartment, Rohini Sector 9",1,Ready_to_move,Resale,6154,"110.00
%%"
Builder_Floor,3,2,Semi-Furnished,"Vijay Vihar, Rohini",5,Ready_to_move,Resale,6154,"45.00
%%"
Apartment,1,1,Furnished,Rohini Sector 18,2,Ready_to_move,Resale,6154,"53.00
%%"
Apartment,2,2,Semi-Furnished,"Prashant Vihar, Rohini",1,Ready_to_move,Resale,6154,"105.00
%%"
Builder_Floor,2,2,Semi-Furnished,Rohini Sector 5,1,Ready_to_move,Resale,6154,"120.00
%%"
Builder_Floor,3,3,Furnished,Rohini Sector 20,1,Ready_to_move,New_Property,6364,"70.00
%%"
Builder_Floor,3,2,Semi-Furnished,Rohini Sector 25,1,Ready_to_move,Resale,8750,"70.00
%%"
Apartment,1,1,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",1,Ready_to_move,Resale,8750,"34.00
%%"
Apartment,2,2,Furnished,Rohini Sector 25,1,Ready_to_move,New_Property,8750,"50.00
%%"
Builder_Floor,4,4,Furnished,Rohini Sector 19,1,Ready_to_move,New_Property,9722,"210.00
%%"
Apartment,1,,Unfurnished,Lajpat Nagar 2,,Ready_to_move,Resale,,"135.00
%%"
Builder_Floor,2,2,Unfurnished,Lajpat Nagar 1,1,Ready_to_move,New_Property,,"150.00
%%"
Builder_Floor,2,2,Unfurnished,Lajpat Nagar,1,Ready_to_move,New_Property,,"105.00
%%"
Builder_Floor,3,2,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,Ready_to_move,New_Property,,"225.00
%%"
